TestCaseID,Title,current_password,new_password,new_password_confirmation,Expected_Status,Expected_Message
TC001,Valid password change,welcome01,NewPassword456@,NewPassword456@,200,success
TC002,Minimum password requirements,welcome01,Welcome1!,Welcome1!,200,success
TC003,Maximum password length,welcome01,ThisPasswordIsLongButValid123!,ThisPasswordIsLongButValid123!,200,success
TC004,Password with special characters,welcome01,Mật_Khẩu123!,Mật_Khẩu123!,200,success
TC005,Complex special characters in password,welcome01,Complex!@#$%^&*(),Complex!@#$%^&*(),200,success
TC006,Numeric password meeting criteria,welcome01,Password1234!,Password1234!,200,success
TC007,Wrong current password,wrongpassword,NewPassword456@,NewPassword456@,400,Your current password does not matches with the password
TC008,Empty current password,,NewPassword456@,NewPassword456@,422,The current password field is required
TC009,Current password same as new,welcome01,welcome01,welcome01,400,New Password cannot be same as your current password
TC010,New password too short,welcome01,Short1!,Short1!,422,The new password must be at least 8 characters
TC011,New password without uppercase,welcome01,newpassword123!,newpassword123!,422,The new password must contain at least one uppercase letter
TC012,New password without lowercase,welcome01,NEWPASSWORD123!,NEWPASSWORD123!,422,The new password must contain at least one lowercase letter
TC013,New password without numbers,welcome01,NewPassword!,NewPassword!,422,The new password must contain at least one number
TC014,New password without symbols,welcome01,NewPassword123,NewPassword123,422,The new password must contain at least one symbol
TC015,Password confirmation mismatch,welcome01,NewPassword456@,DifferentPassword456@,422,The new password confirmation does not match
TC016,Empty new password,welcome01,,,422,The new password field is required
TC017,Empty password confirmation,welcome01,NewPassword456@,,422,The new password confirmation does not match
TC018,Weak password (common),welcome01,Password123,Password123,422,The new password has appeared in a data breach
TC019,Very long password,welcome01,ThisIsAVeryLongPasswordThatExceedsNormalLengthButShouldStillWorkIfItMeetsAllOtherCriteria123!,ThisIsAVeryLongPasswordThatExceedsNormalLengthButShouldStillWorkIfItMeetsAllOtherCriteria123!,200,success
TC020,Password with unicode characters,welcome01,新Password123!,新Password123!,200,success
TC021,Only numbers,welcome01,12345678,12345678,422,The new password must contain at least one uppercase letter
TC022,Only letters,welcome01,PasswordOnly,PasswordOnly,422,The new password must contain at least one number
TC023,Only symbols,welcome01,!@#$%^&*,!@#$%^&*,422,The new password must contain at least one uppercase letter
TC024,SQL injection attempt,welcome01,'; DROP TABLE users; --,'; DROP TABLE users; --,422,validation error
TC025,XSS attempt in password,welcome01,<script>alert('xss')</script>,<script>alert('xss')</script>,422,validation error
TC026,Special characters in current password verification,OldPassword!@#,NewPassword456@,NewPassword456@,422,input sanitization
TC027,Password without numeric character,welcome01,NoNumbers!,NoNumbers!,422,The new password must contain at least one number
TC028,Password without special characters,welcome01,NoSpecial123,NoSpecial123,422,The new password must contain at least one symbol
TC029,Common/weak password,welcome01,Password123!,Password123!,422,The new password has appeared in a data breach
TC030,Password same as current,welcome01,welcome01,welcome01,400,New Password cannot be same as your current password
TC031,Password confirmation mismatch,welcome01,NewPassword456@,DifferentPassword,422,The new password confirmation does not match
TC032,Empty password confirmation,welcome01,NewPassword456@,,422,The new password confirmation field is required
TC033,Case sensitive confirmation check,welcome01,Test123!,test123!,422,The new password confirmation does not match
TC034,No authentication token,welcome01,NewPassword456@,NewPassword456@,401,unauthorized access
TC035,Invalid authentication token,welcome01,NewPassword456@,NewPassword456@,401,authentication failed
TC036,Expired authentication token,welcome01,NewPassword456@,NewPassword456@,401,token expired
TC037,Rate limiting test,welcome01,NewPassword456@,NewPassword456@,429,rate limit exceeded
